SALESREP_ID,SALES_FNAME,SALES_LNAME,PHONE_NUMBER,EMAIL
1001,Vance,Lawrence,(514) 591-8661,pharetra.ut@hotmail.net
1002,Clayton,Hutchinson,(878) 523-0114,purus.maecenas@google.org
1003,Nissim,Hart,(280) 140-7420,placerat.velit@hotmail.com
1004,Phelan,Kent,(281) 142-4375,penatibus@protonmail.com
1005,Vivian,Mckee,(444) 733-3722,cursus@aol.com
1006,Iona,Rich,(961) 340-8522,imperdiet.dictum.magna@yahoo.couk
1007,Kelsie,Mcmillan,(432) 684-1292,habitant.morbi@protonmail.edu
1008,Kaitlin,Vinson,(711) 663-7598,non.justo@yahoo.net
1009,Cody,Torres,(692) 985-0418,ligula@aol.net
1010,Fulton,Carson,(876) 346-0885,orci.luctus@google.ca
