player_id,team_id,player_fname,player_lname,position,salary,player_email,player_phone,player_country
300001,20001,Sheila,Dubois,MF,1631342,sheila.dubois@yahoo.com,(172) 143-3730,Netherlands
300002,20002,Slade,Romero,MF,1497014,slade-romero3478@aol.edu,(237) 563-3465,France
300003,20003,Celeste,Nijland,MF,3461965,nijland-celeste4008@protonmail.net,(955) 227-7021,Pakistan
300004,20004,Oprah,Franssen,MF,2778160,f_oprah@yahoo.edu,(494) 719-6529,Norway
300005,20005,Vance,Deforest,FW,835864,vance_deforest4504@hotmail.couk,(150) 773-1586,Sweden
300006,20006,Oliver,Stevens,MF,2493898,o-stevens5455@google.edu,(562) 587-5877,Ireland
300007,20007,Nell,Nicolas,MF,2710010,n_nicolas1753@yahoo.org,(614) 687-9166,Austria
300008,20008,Jenna,Hunt,FW,2865469,j.hunt5873@aol.net,(470) 834-3348,Belgium
300009,20009,Kylie,Beyer,DF,939593,kylie.beyer1892@hotmail.couk,(791) 788-2626,Netherlands
300010,20010,Sydney,Rosa,MF,3991576,r.sydney2594@hotmail.com,(227) 586-4814,Colombia
300011,20011,Nyssa,Kutlu,MF,2519132,kutlu_nyssa@aol.edu,(477) 419-2619,Netherlands
300012,20012,Edward,Kalkan,DF,1148014,e_kalkan@icloud.edu,(415) 124-1388,Belgium
300013,20013,Karly,Bunschoten,DF,2502240,kbunschoten@yahoo.org,(713) 147-7363,United States
300014,20014,Lacey,deCampos,FW,1658021,l.decampos2573@hotmail.org,(882) 866-4653,Singapore
300015,20015,Thaddeus,Vargas,FW,3124998,tvargas5@google.com,(692) 519-7440,Singapore
300016,20016,Beck,Carter,DF,3055645,carterbeck3685@yahoo.couk,(892) 526-9458,Ireland
300017,20017,Athena,Chandra,FW,953781,a_chandra1849@aol.org,(785) 380-0878,France
300018,20018,Whilemina,White,DF,3113343,w.white1259@protonmail.com,(744) 755-4049,Vietnam
300019,20019,Eugenia,Roggeveen,MF,1002698,roggeveen_eugenia2111@yahoo.edu,(585) 514-4093,Poland
300020,20020,Marvin,Onoja,MF,3623100,marvinonoja@aol.net,(606) 123-4886,China
300021,20021,Selma,Marti,FW,3233061,marti.selma@outlook.org,(126) 433-5352,Australia
300022,20022,Macey,Abaribe,MF,2597864,m_abaribe8456@outlook.ca,(816) 813-3377,Spain
300023,20023,Gregory,Webb,FW,1373112,gwebb567@protonmail.org,(621) 483-4710,Pakistan
300024,20024,Adrian,Berger,MF,2441052,aberger@yahoo.edu,(638) 768-7535,Brazil
300025,20025,Noel,Maria,DF,2027281,mnoel@hotmail.ca,(553) 319-5772,Poland
300026,20026,Vanna,Oliha,FW,3279369,v_oliha4401@outlook.com,(566) 121-4672,New Zealand
300027,20027,Merrill,Monet,DF,3918245,merrillmonet@hotmail.ca,(267) 951-1314,Pakistan
300028,20028,Slade,Caetano,DF,3509753,caetano_slade@yahoo.org,(631) 192-3447,Norway
300029,20029,Stephen,Santana,MF,1802420,stephensantana2147@aol.com,(256) 318-4851,Turkey
300030,20030,Susan,Lang,DF,2504697,s.lang7927@protonmail.ca,(584) 785-6715,Brazil
300031,20031,Alexa,Washington,MF,1233525,washington.alexa2751@outlook.edu,(236) 736-7112,New Zealand
300032,20032,Mannix,Maximo,DF,2635813,m-mannix5136@icloud.ca,(602) 757-7378,Singapore
300033,20033,Vincent,Rodriguez,MF,1839448,v_rodriguez2146@protonmail.net,(597) 511-3417,United Kingdom
300034,20034,Blaze,Gonzalez,MF,2179232,gonzalezblaze6792@google.com,(666) 274-1734,Nigeria
300035,20035,Marsden,VanDerAart,DF,2499350,marsden_vanderaart460@yahoo.com,(944) 906-3936,Nigeria
300036,20036,Vivien,Chen,FW,1622767,v.chen@protonmail.org,(532) 297-0174,Nigeria
300037,20037,Claire,Darsha,DF,3712254,claire.darsha7396@yahoo.com,(569) 650-7265,Belgium
300038,20038,Nissim,vanderVeen,MF,3248103,vnissim@google.com,(170) 407-6777,South Korea
300039,20039,Keefe,Azanli,MF,1944512,anlikeefe8988@hotmail.ca,(244) 242-3638,Pakistan
300040,20040,Wynne,Lambert,DF,2742427,lambert.wynne@outlook.net,(503) 403-5471,Turkey
300041,20041,Branden,Shaw,MF,2014405,b-shaw@outlook.ca,(614) 384-7372,India
300042,20042,Tucker,Smith,FW,1963712,smith.tucker6774@outlook.net,(252) 626-5433,Vietnam
300043,20043,Erich,Perry,DF,3951931,perryerich8235@icloud.net,(381) 546-9879,Peru
300044,20044,Nita,VanAalsburg,MF,3683700,v_nita9023@icloud.couk,(805) 894-4567,Singapore
300045,20045,Regan,Chan,FW,3416608,rchan@icloud.couk,(503) 421-7342,United Kingdom
300046,20046,Trevor,Ross,MF,3246768,r_trevor@aol.couk,(396) 354-0361,Singapore
300047,20047,Jena,vanDam,DF,3154729,vjena560@yahoo.ca,(783) 312-2463,Germany
300048,20048,Germane,Egger,MF,1119595,g-egger6673@icloud.org,(155) 354-2155,Russian Federation
300049,20049,Jane,Schmidt,DF,2429955,j-schmidt6457@hotmail.net,(135) 326-2013,Austria
300050,20050,Tobias,Lan,DF,835504,lan_tobias2543@hotmail.couk,(669) 752-1244,Indonesia
300051,20051,Inez,Le,DF,712590,le-inez9759@icloud.net,(109) 933-1565,Colombia
300052,20052,Zephania,Nijland,FW,1248817,nijland-zephania4364@aol.net,(676) 487-9252,Costa Rica
300053,20053,Melvin,Ekici,DF,2679313,emelvin@icloud.org,(481) 314-4722,India
300054,20054,Chaim,Burns,MF,1883520,burns-chaim1385@protonmail.couk,(649) 684-4895,Italy
300055,20055,Brent,Manohar,FW,2832770,bmanohar7063@protonmail.net,(798) 122-2297,South Africa
300056,20056,Ulysses,Mayer,DF,2728876,m-ulysses@outlook.couk,(491) 418-8248,South Africa
300057,20057,Roanna,Smith,DF,2730587,r.smith5606@icloud.edu,(957) 457-0419,Sweden
300058,20058,Charlotte,Strauss,MF,3684234,strauss.charlotte@yahoo.ca,(538) 975-4648,Nigeria
300059,20059,Derek,Jindal,FW,3869348,jindal-derek1273@google.ca,(424) 850-4527,New Zealand
300060,20060,Raymond,Meyer,DF,3544976,r_meyer842@hotmail.edu,(432) 466-0842,Poland
300061,20061,Ella,Ihemeje,FW,839995,ihemeje_ella4580@aol.com,(301) 448-0832,New Zealand
300062,20062,Axel,Wagner,FW,3435574,a-wagner2569@icloud.com,(916) 465-6795,Netherlands
300063,20063,Lynn,RoAYmann,MF,3535893,l.romann@outlook.ca,(674) 875-6123,United States
300064,20064,Heather,GenAi,MF,2393206,gen.heather499@yahoo.ca,(883) 541-1823,France
300065,20065,Maris,Santana,FW,2063495,santana_maris705@protonmail.org,(471) 783-6510,Turkey
300066,20066,Jescie,YAoldAoz,MF,1972650,jescie.yldz8471@icloud.net,(511) 470-2710,Netherlands
300067,20067,Kyra,Richter,MF,3543626,richter_kyra@aol.edu,(755) 265-7695,Brazil
300068,20068,Camden,Simon,DF,3260544,simoncamden2502@aol.ca,(526) 918-4149,Ireland
300069,20069,Kathleen,Teixeira,DF,3150241,k_teixeira@hotmail.com,(213) 886-4576,Belgium
300070,20070,Wesley,Brunner,DF,2739539,wbrunner8686@yahoo.net,(654) 735-6876,Belgium
300071,20071,Martin,Schmidt,MF,1627001,martinschmidt2438@outlook.net,(223) 639-2788,Australia
300072,20072,Guy,Bezerra,FW,2823255,bezerraguy8825@aol.ca,(512) 264-7928,Costa Rica
300073,20073,Bradley,Mittal,FW,3816677,bradley-mittal4297@icloud.net,(720) 841-1938,Philippines
300074,20074,Flynn,Jia,FW,1912403,f.jia4946@google.org,(774) 428-5813,China
300075,20075,Amy,Reed,MF,739601,reed-amy9099@protonmail.ca,(631) 316-0512,Russian Federation
300076,20076,Elton,Jara,MF,3790572,e_jara@protonmail.couk,(278) 224-4670,Russian Federation
300077,20077,Cole,Jai,DF,1557953,j-cole3909@protonmail.edu,(468) 229-3437,Australia
300078,20078,Rebecca,Teh,MF,1692760,r_teh@yahoo.org,(465) 530-3442,Pakistan
300079,20079,Deacon,JAuger,DF,2272662,j-deacon7588@google.ca,(169) 903-2204,Turkey
300080,20080,Josiah,Baumgartner,MF,2093628,j_baumgartner9442@yahoo.com,(148) 458-3785,Germany
300081,20081,Dai,Pastor,DF,2836590,daipastor@icloud.ca,(341) 988-7652,United Kingdom
300082,20082,Perry,Maler,MF,1610467,maler-perry6038@protonmail.edu,(258) 363-0452,Canada
300083,20083,Shana,Kool,DF,3435680,k.shana1684@yahoo.org,(271) 817-2164,Poland
300084,20084,Alexandra,Teles,DF,2271917,t_alexandra421@yahoo.edu,(827) 541-5208,China
300085,20085,Kimberly,Gedik,DF,2662964,kgedik5038@protonmail.com,(744) 241-4607,South Korea
300086,20086,Derek,Pok,MF,1941430,pderek1924@yahoo.org,(135) 335-8330,Australia
300087,20087,Rhona,Dion,DF,3329345,dion.rhona@hotmail.couk,(247) 887-6574,Pakistan
300088,20088,Kenneth,Alvarez,MF,3280723,kennethalvarez8953@outlook.com,(495) 814-5034,Austria
300089,20089,Denise,Jonker,FW,2126022,denise.jonker@yahoo.couk,(763) 425-2878,Austria
300090,20090,Brianna,Meyer,FW,3839622,meyer_brianna@aol.com,(288) 894-4314,Vietnam
300091,20091,Uriel,Egger,MF,2915384,egger.uriel@outlook.com,(272) 875-5755,Sweden
300092,20092,Dalton,Darsha,MF,1089243,d_darsha6150@icloud.ca,(413) 284-2288,South Korea
300093,20093,September,Oo,DF,3939624,septemberoo@yahoo.com,(587) 418-8874,Turkey
300094,20094,Hayfa,Fink,DF,2428257,hayfafink@google.net,(826) 678-2766,Poland
300095,20095,Dale,Elliott,DF,1471936,elliott_dale5466@aol.edu,(567) 452-2299,United States
300096,20096,Heather,Lammers,FW,2387727,lammers_heather@outlook.net,(309) 448-5389,New Zealand
300097,20097,Nasim,Janssens,DF,3829733,janssens-nasim5517@protonmail.couk,(332) 784-6655,Nigeria
300098,20098,Naida,deFreitas,MF,1984065,defreitas-naida9919@yahoo.com,(767) 711-9641,Spain
300099,20099,Keane,Morais,MF,3612023,keane.morais@outlook.net,(751) 983-4641,Poland
300100,20100,Jack,Cook,DF,1444930,j_cook@hotmail.couk,(863) 852-1314,South Korea
300101,20001,Hayden,Subramani,DF,2019245,subramani.hayden3450@yahoo.net,(224) 818-5940,Mexico
300102,20002,Wesley,Rajagopal,DF,2095134,rajagopal_wesley@hotmail.couk,(832) 639-6317,Netherlands
300103,20003,Kameko,Gruber,DF,1877238,k-gruber3107@icloud.ca,(515) 412-7491,Belgium
300104,20004,William,Romeijnders,DF,1521303,romeijnders_william2612@protonmail.edu,(893) 504-4554,Netherlands
300105,20005,Maryam,Schneider,MF,1725929,maryamschneider@aol.com,(560) 577-1656,India
300106,20006,Demetrius,Aaolak,MF,2250255,olak-demetrius505@protonmail.edu,(191) 337-6835,Indonesia
300107,20007,Amber,Wood,DF,1455585,amber-wood8176@protonmail.couk,(138) 379-4378,United Kingdom
300108,20008,Randall,Santana,MF,933239,santana_randall7052@google.org,(289) 325-6537,Pakistan
300109,20009,Bo,daCruz,FW,3481357,dacruz_bo7392@outlook.net,(293) 655-3353,Sweden
300110,20010,Yoshi,Sert,MF,3514642,sertyoshi661@aol.net,(361) 843-7022,Indonesia
300111,20011,Briar,Jung,DF,2717441,b.jung1102@aol.edu,(436) 474-7923,Colombia
300112,20012,Timon,Chou,DF,864336,c.timon@hotmail.ca,(230) 329-2896,India
300113,20013,Samuel,Lorenzo,DF,2615472,s_lorenzo5468@hotmail.couk,(773) 113-6067,India
300114,20014,Keaton,Gomez,FW,3868854,keaton-gomez@google.net,(507) 881-6438,Nigeria
300115,20015,Sheila,Maia,DF,2361578,maia-sheila@hotmail.ca,(284) 561-7617,Singapore
300116,20016,Phoebe,Bakare,DF,3390832,phoebe_bakare9205@yahoo.ca,(960) 412-6645,Singapore
300117,20017,Cecilia,Park,MF,1220585,park_cecilia3587@protonmail.edu,(252) 770-6548,United Kingdom
300118,20018,Harrison,Campos,MF,1823957,harrisoncampos@icloud.couk,(868) 482-5347,Ukraine
300119,20019,Ciaran,Shaw,DF,3315330,shawciaran@outlook.couk,(753) 623-5552,Nigeria
300120,20020,Kelsey,Vergara,MF,1424971,vergara.kelsey7478@google.org,(145) 213-7949,Netherlands
300121,20021,George,Morrison,DF,3216395,g_morrison8194@aol.couk,(714) 657-7266,Germany
300122,20022,Nero,Klein,FW,1034277,klein_nero6681@google.edu,(477) 345-6784,Belgium
300123,20023,Penelope,Fowler,MF,2748162,pfowler@outlook.ca,(127) 605-2254,Pakistan
300124,20024,Lydia,Harris,FW,3374954,l-harris@hotmail.org,(807) 578-5374,South Korea
300125,20025,Nathan,AdAogAqzel,FW,716512,n-adgzel3774@protonmail.org,(351) 120-3344,Canada
300126,20026,Brynne,Chan,MF,3087792,b-chan288@outlook.net,(318) 245-8786,Sweden
300127,20027,Cyrus,Nijland,FW,1928861,cyrus_nijland4370@aol.com,(565) 394-6184,Mexico
300128,20028,Stewart,Vila,FW,1985923,s_vila@icloud.ca,(696) 267-4255,Vietnam
300129,20029,Zephr,Pichler,MF,3706438,zephr.pichler6786@yahoo.com,(977) 535-5675,Chile
300130,20030,Laith,Carter,MF,2048208,carterlaith@protonmail.couk,(437) 642-2381,Costa Rica
300131,20031,Tanner,Ramirez,MF,2627340,t.ramirez@outlook.ca,(217) 948-3482,Norway
300132,20032,Ian,Daramola,FW,1367567,daramolaian@google.ca,(125) 432-9522,India
300133,20033,Wang,Hernandez,DF,2744649,w.hernandez@protonmail.couk,(711) 836-0387,Colombia
300134,20034,Tashya,Ouellette,MF,2516630,ouellette_tashya7509@protonmail.org,(570) 823-8205,Costa Rica
300135,20035,Rashad,Ihemeje,FW,2715031,rashad_ihemeje@outlook.edu,(593) 916-4868,United Kingdom
300136,20036,Odysseus,Meijer,DF,1057885,odysseus_meijer7766@icloud.net,(326) 868-2817,Ireland
300137,20037,Thomas,Konings,DF,3711745,t_konings8279@icloud.ca,(172) 623-9622,Sweden
300138,20038,Noah,Sharma,DF,1768267,n.sharma3280@aol.net,(872) 428-7701,France
300139,20039,Patience,Auer,DF,861192,a.patience6983@hotmail.edu,(873) 519-0853,New Zealand
300140,20040,McKenzie,Bilodeau,FW,2602018,b-mckenzie@icloud.edu,(473) 363-2833,Nigeria
300141,20041,Gemma,Henderson,FW,3205639,h_gemma@outlook.ca,(493) 655-3677,Belgium
300142,20042,Fatima,Bachmann,DF,2410775,b-fatima@icloud.org,(183) 332-5221,Peru
300143,20043,Hector,Pfeiffer,DF,3221556,pfeiffer.hector@icloud.net,(453) 268-7883,United Kingdom
300144,20044,Ocean,Mayer,MF,2854290,mayer-ocean3072@icloud.ca,(297) 512-3058,United States
300145,20045,Armando,Kishore,MF,3593348,kishore-armando@yahoo.ca,(888) 890-3367,Indonesia
300146,20046,Eve,Saini,DF,2757348,esaini9695@google.net,(548) 858-7425,Costa Rica
300147,20047,Dane,Gruber,FW,1836248,d-gruber9651@hotmail.edu,(796) 823-8681,Austria
300148,20048,Briar,Guerrero,DF,3384926,guerrero.briar@protonmail.com,(852) 271-4606,Austria
300149,20049,Robert,Aremu,DF,2123493,raremu5431@google.net,(839) 775-2961,Belgium
300150,20050,Reuben,Franklin,DF,1277989,f-reuben@outlook.com,(455) 305-7628,Poland
300151,20051,Ethan,Fransen,FW,970187,ethan-fransen2443@hotmail.ca,(739) 276-6722,Spain
300152,20052,Ethan,Wood,FW,1306878,ewood4817@yahoo.edu,(616) 145-2115,Peru
300153,20053,Anthony,Jacobs,FW,2109902,jacobs-anthony117@aol.edu,(237) 677-5118,South Africa
300154,20054,Dalton,Borges,DF,3793903,d_borges@icloud.org,(565) 291-2244,Australia
300155,20055,Igor,Sharma,DF,2209112,sharma-igor@protonmail.edu,(158) 634-2333,France
300156,20056,Jamalia,Esteban,MF,1483714,ejamalia2940@hotmail.net,(673) 278-4798,Brazil
300157,20057,Freya,Miranda,MF,2591863,freyamiranda3614@google.edu,(935) 320-0772,Austria
