author_id,first_name,last_name,date_of_birth,country
A0001,Abraham,Stackhouse,1947-07-01,Norway
A0002,Amelia,"Wangerin, Jr.",1941-03-26,New Zealand
A0003,Anastasia,Inez,1948-03-30,New Zealand
A0004,Arthur,McCrumb,1948-03-13,New Zealand
A0005,Arturo,Hijuelos,1929-01-09,United Kingdom
A0006,Bernard,Hopf,1922-11-27,United States
A0007,Bianca,Thompson,1950-01-28,United States
A0008,Bravig,Lewisohn,1938-01-21,United States
A0009,Burton,Malamud,1945-01-18,Brazil
A0010,Carolyn,Segal,1933-09-24,United States
A0011,Charles,Fenimore,1920-03-18,Norway
A0012,Clifford,Wolitzer,1943-08-01,United Kingdom
A0013,Darryl,Fleischman,1931-12-07,Germany
A0014,David,Beam,1957-02-26,United States
A0015,Elizabeth,Herbach,1957-01-22,New Zealand
A0016,Elmer,Komroff,1929-07-11,Norway
A0017,Gloria,Green,1956-09-19,Hong Kong
A0018,Grace,Harrison,1961-04-08,United States
A0019,Hamlin,Myrer,1925-01-29,Brazil
A0020,Hillary,Barnhardt,1954-03-07,New Zealand
A0021,Jill,Hergesheimer,1956-06-15,Canada
A0022,John W.,Spanogle,1949-08-10,United Kingdom
A0023,Jonathan,Kotzwinkle,1951-02-03,Germany
